model,dataset,seed,variant,split,run_id,log_path,hparams,HR@10,HR@20,HR@5,HR@50,NDCG@10,NDCG@20,NDCG@5,NDCG@50
FuXiAlpha,Grocery_and_Gourmet_Food,1,pos1_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food__1__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi_single_stage_ff__5c8ab3b40e,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food__1__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi_single_stage_ff__5c8ab3b40e.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1,0.4513,0.5679,0.3377,,0.2668,0.2961,0.2299,
FuXiAlpha,Grocery_and_Gourmet_Food,2,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food__2__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi_single_stage_ff__814bc65e9b,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food__2__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi_single_stage_ff__814bc65e9b.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1,0.4945,0.6149,0.3829,,0.3075,0.3379,0.2714,
FuXiAlpha,Grocery_and_Gourmet_Food,2,pos1_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food__2__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi_single_stage_ff__814bc65e9b,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food__2__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent=1__fuxi_single_stage_ff__814bc65e9b.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0;lr=0.001;num_heads=4;num_layers=1,0.4503,0.5684,0.3355,,0.2686,0.2984,0.2313,
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,0,pos1_time1_latent1_ssffn0_noams,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1___44f038a88c,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1___44f038a88c.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_ams=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4989,0.6216,0.3867,0.8211,0.3089,0.3397,0.2725,0.3791
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,0,pos1_time1_latent1_ssffn0_noams,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1___44f038a88c,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1___44f038a88c.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_ams=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4502,0.5762,0.3427,0.7912,0.2726,0.3043,0.2377,0.3468
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,0,pos0_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=0__fuxi_use_time=1__fuxi_use_latent__bc7e40c9e0,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=0__fuxi_use_time=1__fuxi_use_latent__bc7e40c9e0.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=0;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.5094,0.6299,0.4039,0.8276,0.3265,0.3568,0.2923,0.3959
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,0,pos0_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=0__fuxi_use_time=1__fuxi_use_latent__bc7e40c9e0,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=0__fuxi_use_time=1__fuxi_use_latent__bc7e40c9e0.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=0;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4669,0.5859,0.3631,0.8003,0.2899,0.3199,0.2563,0.3624
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,0,pos1_time0_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=0__fuxi_use_latent__4d0bf82914,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=0__fuxi_use_latent__4d0bf82914.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=0;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.5034,0.6316,0.4034,0.8303,0.3316,0.3639,0.2993,0.4032
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,0,pos1_time0_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=0__fuxi_use_latent__4d0bf82914,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=0__fuxi_use_latent__4d0bf82914.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=0;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4677,0.59,0.367,0.8052,0.2978,0.3286,0.2653,0.3711
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,0,pos1_time1_latent1_ssffn1,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__1e9ed8cf82,..\log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__0__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_pos=1__fuxi_use_time=1__fuxi_use_latent__1e9ed8cf82.txt,attn_dropout=0.1;emb_size=64;fuxi_single_stage_ffn=1;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.5062,0.6227,0.397,0.8269,0.3234,0.3528,0.2881,0.3933
