model,dataset,variant,split,n,HR@10_mean,NDCG@10_mean,HR@20_mean,NDCG@20_mean,HR@10_std,NDCG@10_std,HR@20_std,NDCG@20_std
SASRec,Grocery_ep50_h50,default,dev,1,0.0638,0.033,0.102,0.0426,0.0,0.0,0.0,0.0
SASRec,Grocery_ep50_h50,default,test,1,0.0487,0.0251,0.0772,0.0323,0.0,0.0,0.0,0.0
SASRec,ML1M_ep50,default,dev,1,0.2103,0.1101,0.3157,0.1367,0.0,0.0,0.0,0.0
SASRec,ML1M_ep50,default,test,1,0.1982,0.1039,0.3006,0.1298,0.0,0.0,0.0,0.0
SASRec,MovieLens_100K,default,dev,3,0.5966666666666667,0.3501666666666667,0.7633,0.3924666666666667,0.0759490838215533,0.06193111764963824,0.0759607135300874,0.06171258650658985
SASRec,MovieLens_100K,default,test,3,0.5682333333333334,0.33086666666666664,0.7384333333333334,0.3739666666666666,0.08319190665763909,0.05561342763517936,0.07679754770390353,0.053954085418375264
SASRec,MovieLens_1M,default,dev,3,0.7576499999999999,0.4981,0.877275,0.528625,0.051597254448920736,0.05822719868469259,0.02549083168513732,0.05153706594934048
SASRec,MovieLens_1M,default,test,3,0.7289749999999999,0.472375,0.851225,0.50345,0.047683426540745456,0.053170942879233095,0.027717308070349566,0.04816869661235741
SASRec,MovieLens_1M_ep50,default,dev,3,0.8126666666666665,0.5672333333333334,0.9041333333333332,0.5904333333333334,0.002874601421646695,0.0037581023580170393,0.002830783166074961,0.0029501412395567406
SASRec,MovieLens_1M_ep50,default,test,3,0.7776333333333333,0.5341666666666667,0.8812666666666668,0.5604666666666667,0.003323151115031188,0.0019295940851208149,0.0035360052790307174,0.0016441816606851446
TiSASRec,Grocery_and_Gourmet_Food,default,dev,3,0.4889666666666667,0.3182,0.5997,0.34613333333333335,0.03125065332650395,0.039536438888701134,0.03334921288426456,0.03992947950240942
TiSASRec,Grocery_and_Gourmet_Food,default,test,3,0.44626666666666664,0.2794666666666667,0.5558666666666666,0.30706666666666665,0.03210628183601042,0.038515624535158895,0.03586730172919808,0.039377320037469965
TiSASRec,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,default,dev,3,0.5052,0.3397333333333334,0.6158333333333333,0.3676333333333333,0.001946792233393195,0.001078579312490892,0.003971565602295108,0.0009609023536933137
TiSASRec,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,default,test,3,0.4603333333333333,0.2987,0.5708666666666666,0.32656666666666667,0.0024214320831552074,0.002563201123595256,0.004544593857907811,0.003202082655606096
TiSASRec,MovieLens_100K,default,dev,3,0.6428666666666667,0.3860333333333334,0.8024333333333334,0.4267,0.004645786621588757,0.0006350852961086145,0.003262412195497926,0.00043588989435405117
TiSASRec,MovieLens_100K,default,test,3,0.6076666666666667,0.36073333333333335,0.774,0.40296666666666664,0.0021501937897160034,0.005036202272877178,0.007668767828015139,0.006351640208114225
TiSASRec,MovieLens_1M,default,dev,3,0.7826666666666666,0.5226333333333334,0.8910333333333332,0.5502333333333334,0.0443197848971916,0.05342773936199558,0.024482714991057124,0.04841015733638275
TiSASRec,MovieLens_1M,default,test,3,0.7504666666666666,0.49879999999999997,0.8651,0.5279333333333334,0.046557956713469885,0.05379135618294076,0.026215834909458828,0.04859643333963239
TiSASRec,MovieLens_1M_ep50,default,dev,3,0.8119999999999999,0.5647333333333333,0.9015666666666666,0.5874666666666667,0.0010148891565092306,0.0032470499431534903,0.001850225211517044,0.002916047553338822
TiSASRec,MovieLens_1M_ep50,default,test,3,0.7793666666666667,0.5314666666666666,0.8800333333333333,0.5570333333333334,0.001537313674346716,0.006036831398451751,0.0024110855093366973,0.005281413952090216
proto_ML1M_full,seed0,default,dev,1,0.0525,0.0253,0.0955,0.0361,0.0,0.0,0.0,0.0
proto_ML1M_full,seed0,default,test,1,0.0477,0.0227,0.0885,0.0329,0.0,0.0,0.0,0.0
proto_ML1M_samp,seed0,default,dev,1,0.5507,0.3043,0.7391,0.3518,0.0,0.0,0.0,0.0
proto_ML1M_samp,seed0,default,test,1,0.5214,0.2892,0.708,0.3362,0.0,0.0,0.0,0.0
